index,id,name,is_tbd,geometry,index_right,LGA_CODE25,LGA_NAME25,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM,dist_to_LGA (m)
0,mcgaurans-beach-vic-australia,"McGaurans Beach, VIC, Australia",False,POINT (1323941.174225389 -4281509.48555096),201,26810,Wellington,2,Victoria,AUS,Australia,10817.4231,
1,stanley-tas-australia,"Stanley, TAS, Australia",False,POINT (1142071.2423125566 -4516553.306325375),512,61210,Circular Head,6,Tasmania,AUS,Australia,4897.6511,
2,inverloch-vic-australia,"Inverloch, VIC, Australia",False,POINT (1204306.752092865 -4288986.215113088),135,20740,Bass Coast,2,Victoria,AUS,Australia,865.8094,
3,boat-harbour-tas-australia,"Boat Harbour, TAS, Australia",False,POINT (1168079.834208446 -4540164.275562917),533,65410,Waratah-Wynyard,6,Tasmania,AUS,Australia,3535.9075,
4,sandy-point-vic-australia,"Sandy Point, VIC, Australia",False,POINT (1236135.0901267668 -4313120.560617242),192,26170,South Gippsland,2,Victoria,AUS,Australia,3296.3307,
5,port-hedland-wa-australia,"Port Hedland, WA, Australia",False,POINT (-1391994.0397817933 -2252163.860044356),470,57280,Port Hedland,5,Western Australia,AUS,Australia,18417.0777,
6,darwin-nt-australia,"Darwin, NT, Australia",False,POINT (-128012.75734843918 -1315617.088266449),543,71000,Darwin,7,Northern Territory,AUS,Australia,111.2614,
7,flying-fish-cove-christmas-island,"Flying Fish Cove, Christmas Island",False,POINT (-2935013.9692736845 -1398520.8698896072),390,51710,Christmas Island,9,Other Territories,AUS,Australia,136.1356,
8,perth-wa-australia,"Perth, WA, Australia",False,POINT (-1508471.3279918109 -3577552.2873737193),467,57080,Perth,5,Western Australia,AUS,Australia,13.7335,
9,alexandria-nsw-australia,"Alexandria, NSW, Australia",False,POINT (1759041.293805186 -3833517.1734970277),105,17200,Sydney,1,New South Wales,AUS,Australia,26.6762,
10,sydney-nsw-australia,"Sydney, NSW, Australia",False,POINT (1760761.5764726868 -3828817.2826525993),105,17200,Sydney,1,New South Wales,AUS,Australia,26.6762,
11,maroochydore-qld-australia,"Maroochydore, QLD, Australia",False,POINT (2064675.5672527757 -3058570.9512962634),278,36720,Sunshine Coast,3,Queensland,AUS,Australia,2253.8522,
12,wurrumiyanga-nt-australia,"Wurrumiyanga, NT, Australia",False,POINT (-152183.27909223532 -1239350.1424688934),552,74050,Tiwi Islands,7,Northern Territory,AUS,Australia,7483.1661,
13,brookvale-nsw-australia,"Brookvale, NSW, Australia",False,POINT (1768671.4905004585 -3817772.1804596866),86,15990,Northern Beaches,1,New South Wales,AUS,Australia,254.2072,
14,paddington-nsw-australia,"Paddington, NSW, Australia",False,POINT (1762521.7561548003 -3830485.6915810145),126,18500,Woollahra,1,New South Wales,AUS,Australia,12.2584,
15,oxford-falls-nsw-australia,"Oxford Falls, NSW, Australia",False,POINT (1766436.991118283 -3814750.49843004),86,15990,Northern Beaches,1,New South Wales,AUS,Australia,254.2072,
16,melbourne-vic-australia,"Melbourne, VIC, Australia",False,POINT (1146781.898443666 -4192587.1856225654),174,24600,Melbourne,2,Victoria,AUS,Australia,37.5452,
17,brisbane-qld-australia,"Brisbane, QLD, Australia",False,POINT (2043199.0745740363 -3147909.585911634),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173,
18,maroubra-nsw-australia,"Maroubra, NSW, Australia",False,POINT (1762736.621691349 -3837737.1150367977),95,16550,Randwick,1,New South Wales,AUS,Australia,36.331,
19,numbulwar-nt-australia,"Numbulwar, NT, Australia",False,POINT (406019.1254266706 -1518343.1559495754),551,73600,Roper Gulf,7,Northern Territory,AUS,Australia,185213.4546,
20,alyangula-nt-australia,"Alyangula, NT, Australia",False,POINT (483824.68142594135 -1474189.1852738077),557,79399,Unincorporated NT,7,Northern Territory,AUS,Australia,19777.3595,
21,clovelly-nsw-australia,"Clovelly, NSW, Australia",False,POINT (1764707.8879116431 -3833910.7222998547),95,16550,Randwick,1,New South Wales,AUS,Australia,36.331,
22,cape-jervis-sa-australia,"Cape Jervis, SA, Australia",False,POINT (552229.0304678112 -3902370.156739637),361,48750,Yankalilla,4,South Australia,AUS,Australia,751.2577,
23,kingscote-sa-australia,"Kingscote, SA, Australia",False,POINT (509396.1515826975 -3905860.4899619664),316,42750,Kangaroo Island,4,South Australia,AUS,Australia,4400.863,
24,west-island-cocos-keeling-islands,"West Island, Cocos (Keeling) Islands",False,POINT (-3850704.2125409157 -1818603.5041617516),393,51860,Cocos (Keeling) Islands,5,Western Australia,AUS,Australia,13.7258,
25,adelaide-sa-australia,"Adelaide, SA, Australia",False,POINT (600967.1260056209 -3829424.228085744),293,40070,Adelaide,4,South Australia,AUS,Australia,15.5733,
26,torquay-vic-australia,"Torquay, VIC, Australia",False,POINT (1084908.8717028603 -4243107.386001074),196,26490,Surf Coast,2,Victoria,AUS,Australia,1552.944,
27,four-mile-bluff-tas-australia,"Four Mile Bluff, TAS, Australia",False,POINT (1271731.8241943282 -4560787.50830668),518,62210,George Town,6,Tasmania,AUS,Australia,653.4308,214.6012971032116
